// cmdid = message (HSR-OWNER); real name where known, // obf: original
4 = GetLevelRewardTakenListScRsp  // obf: GPONDAHEKJN
1841 = EnterRogueMapRoomScRsp  // obf: NNAMFPHNGBF
1843 = SyncRogueStatusScNotify  // obf: NIFJKCEJFIP
1844 = ExchangeRogueRewardKeyCsReq  // obf: JCFJFAFJACN
1848 = FinishAeonDialogueGroupCsReq  // obf: FKEFNGCFJKN
1853 = OpenRogueChestScRsp  // obf: CBOLGFEIIOA
1854 = EnableRogueTalentScRsp  // obf: KLAEMDDHPNB
1855 = GetRogueAeonInfoScRsp  // obf: MMOAIOJAMPA
1856 = LeaveRogueScRsp  // obf: DAEOAHLMACG
1858 = LeaveRogueCsReq  // obf: CAGNJEEKBNN
1860 = EnterRogueCsReq  // obf: MGBFNLJFCAA
1862 = ExchangeRogueRewardKeyScRsp  // obf: LEKLEHPFHMA
1864 = PickRogueAvatarCsReq  // obf: EKFCDGNOAIN
1865 = GetRogueAeonInfoCsReq  // obf: FLGHJEANCAC
1868 = SyncRogueFinishScNotify  // obf: FKBINHGJLGL
1875 = StartRogueScRsp  // obf: HHNAMDCALND
1879 = EnterRogueMapRoomCsReq  // obf: GFMDKGLKCOF
1882 = SyncRogueExploreWinScNotify  // obf: DDIHBNNOKJN
1885 = EnhanceRogueBuffCsReq  // obf: CINMCBDCBMJ
1890 = EnableRogueTalentCsReq  // obf: GFMEMPALPAM
1895 = SyncRogueGetItemScNotify  // obf: FGOPLKFEJAP
1896 = SyncRogueMapRoomScNotify  // obf: CLPJHIIDAGN
1897 = OpenRogueChestCsReq  // obf: KHKGDGBHHPK
1900 = SyncRogueAreaUnlockScNotify  // obf: KPDDKCNHJAB
1905 = DoGachaCsReq  // obf: JEADDEILJLE
1915 = SetGachaDecideItemScRsp  // obf: EAAECDKBAFC
1916 = GetGachaCeilingScRsp  // obf: DFNMFPBNPDM
1925 = GetGachaInfoScRsp  // obf: LDPGAPPKBBB
1934 = GetGachaInfoCsReq  // obf: JDKEAPHHLBM
1956 = ExchangeGachaCeilingScRsp  // obf: PJBNPPDIDDC
1958 = ExchangeGachaCeilingCsReq  // obf: AMIHACOLKBO
1960 = GetGachaCeilingCsReq  // obf: GHJGEGJAODM
1975 = DoGachaScRsp  // obf: IAOPGJEOHOM
1983 = SetGachaDecideItemCsReq  // obf: GIMKMEOLAAO
2105 = TakeTalkRewardCsReq  // obf: ONGCMCCAPOA
2108 = FinishFirstTalkByPerformanceNpcScRsp  // obf: LADNPPKPJGM
2115 = SelectInclinationTextScRsp  // obf: JPNGFKCALEK
2116 = GetFirstTalkNpcScRsp  // obf: KGAPKGHAKHF
2125 = GetNpcTakenRewardScRsp  // obf: NICENHFMLNE
2134 = GetNpcTakenRewardCsReq  // obf: AFAEAGLMJEL
2139 = GetFirstTalkByPerformanceNpcScRsp  // obf: BDMBCADIHLN
2142 = GetFirstTalkByPerformanceNpcCsReq  // obf: MEJFIDEOLBN
2156 = FinishFirstTalkNpcScRsp  // obf: DDLGGGGKPHD
2158 = FinishFirstTalkNpcCsReq  // obf: ODIKKIMIMHO
2160 = GetFirstTalkNpcCsReq  // obf: GNLACIGLJJN
2161 = FinishFirstTalkByPerformanceNpcCsReq  // obf: CFLOLHMFICG
2175 = TakeTalkRewardScRsp  // obf: DIOPCDKIEKN
2183 = SelectInclinationTextCsReq  // obf: APJNPPGJELG
2202 = GetAllSaveRaidScRsp  // obf: PNDCHLMHJCI
2204 = ChallengeRaidNotify  // obf: KJJDLEIGPMJ
2206 = StartRaidScRsp  // obf: KPJCDAOHOAA
2208 = SetClientRaidTargetCountScRsp  // obf: GKGJKFHIPKI
2211 = TakeChallengeRaidRewardCsReq  // obf: JPCNCABCMGA
2214 = GetRaidInfoScRsp
2216 = GetChallengeRaidInfoScRsp  // obf: PMLIEFOFJHF
2218 = DelSaveRaidScNotify  // obf: GDKFOIFIAFD
2220 = LeaveRaidCsReq  // obf: KIKOJGLGJFE
2223 = GetAllSaveRaidCsReq  // obf: FHJENMNMMKO
2225 = GetSaveRaidScRsp  // obf: MKMPGOFLAPA
2226 = TakeChallengeRaidRewardScRsp  // obf: NOKJGNCMOBK
2229 = RaidInfoNotify  // obf: GKNMMJHBFEM
2231 = LeaveRaidScRsp  // obf: FPHIKGOGJIP
2232 = OICLHALJIEH
2234 = StartRaidCsReq  // obf: GDCGMBJAEGN
2238 = RaidKickByServer  // obf: MCJANHINPDO
2240 = SetClientRaidTargetCountCsReq  // obf: PIKGCABFJAE
2247 = GetSaveRaidCsReq  // obf: NGDCCMAHNDF
2248 = GetRaidInfoCsReq  // obf: CELCIDNLPPO
2252 = GetFiveDimMoneyDataScRsp  // obf: NFEJKBHMEOL
2253 = FiveDimMoneyChangeScNotify  // obf: CMJAOMBHJNL
2254 = LeaveFiveDimGameCsReq  // obf: BGBIBDECAFH
2255 = UpdateFiveDimGameDataScRsp  // obf: PKFCCICBLGL
2256 = GetFiveDimMoneyScRsp  // obf: NPPLIGADGDF
2257 = GetFiveDimMoneyCsReq  // obf: DDHKGAKNOEK
2258 = EnterFiveDimGameScRsp  // obf: IBAAHKDOHDB
2259 = FiveDimJumpEnergyChangeScNotify  // obf: IBCFCAOKMOP
2260 = FiveDimGameTransferCsReq  // obf: BOFJIOEKDFK
2262 = FiveDimGameTransferScRsp  // obf: AGBDHJMJFHD
2263 = UpdateFiveDimGameDataCsReq  // obf: FPAKIHDJMIK
2266 = EnterFiveDimGameCsReq  // obf: AGDNLAAKGDD
2267 = GetFiveDimGameDataScRsp  // obf: BNFGMKBICKJ
2270 = FiveDimGameDataUpdateScNotify  // obf: DCJGNLLAHEM
2271 = LeaveFiveDimGameScRsp  // obf: OMFLOBEGHNM
2274 = GetFiveDimMoneyDataCsReq  // obf: IKFDIJLEOJA
2275 = GetFiveDimGameDataCsReq  // obf: DFKEBOHGDKF
2305 = GetUpdatedArchiveDataCsReq  // obf: BJJGFKAOKLG
2325 = GetArchiveDataScRsp  // obf: JPMDALGBLBO
2334 = GetArchiveDataCsReq  // obf: IPFMCBBMOEC
2375 = GetUpdatedArchiveDataScRsp  // obf: KKOGBFCLNHB
2404 = GetBigDataAllRecommendScRsp  // obf: EJEDKALMMNP
2411 = GetBigDataRecommendScRsp  // obf: BGGIHLHFPGA
2416 = GetBigDataRecommendCsReq  // obf: KOAGMGNMMOC
2426 = GetBigDataAllRecommendCsReq  // obf: HGKBKMFJJCB
2502 = TakeMultipleExpeditionRewardCsReq  // obf: PEIGLFGGMJH
2506 = GetExpeditionDataScRsp  // obf: CNLOBEKDKGL
2518 = TakeMultipleExpeditionRewardScRsp  // obf: MFDJDDKAHKL
2523 = AcceptMultipleExpeditionScRsp  // obf: LIIHMEHAHDN
2525 = AcceptMultipleExpeditionCsReq  // obf: GFGPOLPKOLH
2526 = HKCILGGEEFM
2534 = GetExpeditionDataCsReq  // obf: DGHLOHPCFKP
2552 = ElfRestaurantUpgradeEmployeeLevelScRsp  // obf: FCEEHNOJAAN
2554 = ElfRestaurantPlantSeedScRsp  // obf: EPDCKMBJMOO
2555 = ElfRestaurantFinishTradeOrderCsReq  // obf: NDEFINBJPAG
2556 = GetElfRestaurantDataScRsp  // obf: FDFOELGFBCA
2557 = ElfRestaurantUpgradeRecipeLevelCsReq  // obf: HCGNKJHKJMM
2558 = ElfRestaurantRecycleSeedScRsp  // obf: IPFOBFKCDGH
2559 = ElfRestaurantTakeVillagerRewardScRsp  // obf: HDPBHCKNOBC
2561 = ElfRestaurantBuyFieldScRsp  // obf: PNOENKFAKEK
2562 = ElfRestaurantBuyShopItemScRsp  // obf: GAAODNGGFJF
2563 = ElfRestaurantFinishTradeOrderScRsp  // obf: LOOPILHHNFD
2564 = ElfRestaurantHarvestCropScRsp  // obf: AFOKEPANBEH
2565 = ElfRestaurantTakeVillagerRewardCsReq  // obf: FIOHLMBJJDB
2566 = ElfRestaurantBuyFieldCsReq  // obf: EEAGACLNDFN
2567 = SetElfRestaurantPlayRecipeScRsp  // obf: ENDIDPAKMGF
2568 = ElfRestaurantUpgradeFacilityLevelCsReq  // obf: HCBCPFNMMMI
2569 = ElfRestaurantUpgradeRecipeLevelScRsp  // obf: IJBBCKPNPAF
2570 = EnterElfRestaurantNextDayCsReq  // obf: ALEEDHCDIAL
2571 = ElfRestaurantBuyShopItemCsReq  // obf: FGADBGEMDAG
2573 = ElfRestaurantUpgradeEmployeeLevelCsReq  // obf: OCKGMNGKIEE
2576 = ElfRestaurantPlantSeedCsReq  // obf: AADFONOBBKJ
2581 = EnterElfRestaurantNextDayScRsp  // obf: JFMKFJJCDKN
2582 = ElfRestaurantDataChangeNotify  // obf: AODEGGFNDJP
2584 = GetElfRestaurantDataCsReq  // obf: BAKKENDDMOL
2585 = ElfRestaurantClientStatusCsReq  // obf: MFIJFCEAKHA
2588 = ElfRestaurantUpgradeFacilityLevelScRsp  // obf: GHNLNAAAOLG
2589 = SettleElfRestaurantPlayScRsp  // obf: GOOJIJDPKIP
2590 = ElfRestaurantRecycleSeedCsReq  // obf: DEJCDBOCLHM
2591 = KFLIEGJGOBO
2592 = IAOMNBIBCNP
2593 = ElfRestaurantClientStatusScRsp  // obf: NJMHBEAAOOC
2598 = ElfRestaurantHarvestCropCsReq  // obf: GAHILLJECMN
2605 = TakeLoginActivityRewardCsReq  // obf: IIAIMCOFMGH
2609 = KJPLKPNPFBE
2611 = SubmitMaterialSubmitActivityMaterialCsReq  // obf: DNGFEGEBEID
2612 = GetMaterialSubmitActivityDataScRsp  // obf: HMLBPKOFHLM
2613 = GetTrialActivityDataCsReq  // obf: JJPAAFLHHKC
2614 = StartTrialActivityScRsp  // obf: OIMNAIDOGJI
2616 = GetActivityScheduleConfigScRsp  // obf: GHBJFLPLIGA
2617 = SubmitMaterialSubmitActivityMaterialScRsp  // obf: KMCLDIDKHBA
2621 = GetMaterialSubmitActivityDataCsReq  // obf: POCKHIABCKH
2623 = GetTrialActivityDataScRsp  // obf: GAPLJKIPAOF
2625 = GetLoginActivityScRsp  // obf: BJDJGMHNGGJ
2627 = TakeRewardScRsp  // obf: HJDKFAGLCEH
2631 = GetDataCsReq  // obf: DKHBPNGPOKK
2634 = GetLoginActivityCsReq  // obf: JLKHCGGLIMF
2636 = LeaveTrialActivityCsReq  // obf: PIGBCIDLGCA
2638 = TakeMaterialSubmitActivityRewardCsReq  // obf: OGOOFKIKDEB
2644 = TakeTrialActivityRewardScRsp  // obf: BGEFEAPPGKN
2646 = CurTrialActivityScNotify  // obf: BKHKMFEDPBE
2653 = TakeTrialActivityRewardCsReq  // obf: NAGFBDNFCEP
2657 = EnterTrialActivityStageCsReq  // obf: BIJPFEHEBLJ
2660 = GetActivityScheduleConfigCsReq  // obf: HIMPABPFMPG
2662 = StartTrialActivityCsReq  // obf: DBJDNDEIKDM
2663 = ChooseAvatarScRsp  // obf: LKHJDNMDJNC
2675 = TakeLoginActivityRewardScRsp  // obf: CGKKBILNMLI
2676 = TrialActivityDataChangeScNotify  // obf: ELOPGADIBBE
2677 = LeaveTrialActivityScRsp  // obf: JDDFIOBBHOF
2678 = TakeMaterialSubmitActivityRewardScRsp  // obf: CNMMLLCIGOG
2687 = ChooseAvatarCsReq  // obf: CKFKJMNHNGM
2691 = PILLGGGIPAF
2697 = EnterTrialActivityStageScRsp  // obf: FDFJIMBJCED
2705 = GetNpcStatusCsReq  // obf: EMACPOEHODE
2708 = FinishMultiPerformSectionIdScRsp  // obf: PELFPKFFFBO
2715 = FinishPerformSectionIdScRsp  // obf: KGPCODGNDEG
2716 = FinishItemIdScRsp  // obf: EEFCOCPHIOD
2725 = GetNpcMessageGroupScRsp  // obf: EBBKLGBFJBN
2734 = GetNpcMessageGroupCsReq  // obf: LNDMHNMPGNP
2739 = GetMissionMessageScRsp  // obf: PGFLOJNIFLF
2742 = GetMissionMessageCsReq  // obf: EJFBKAEEDJK
2756 = FinishSectionIdScRsp  // obf: LCJMFNOJBAC
2758 = FinishSectionIdCsReq  // obf: BCONPMPJLDD
2760 = FinishItemIdCsReq  // obf: FNNBOBGFAKH
2761 = FinishMultiPerformSectionIdCsReq  // obf: INIMLGAKMFB
2775 = GetNpcStatusScRsp  // obf: FOKMHCLKPGJ
2783 = FinishPerformSectionIdCsReq  // obf: OCJOLLHLFIB
2805 = SetHeadIconCsReq  // obf: PPCIADKDOHF
2808 = SetPersonalCardCsReq  // obf: IBAGCHAMPEK
2815 = SetSignatureCsReq  // obf: MKDOMJOBANO
2816 = SetDisplayAvatarScRsp  // obf: KFEPCAOAMML
2825 = GetPlayerBoardDataScRsp  // obf: BHLJGGCMJAB
2834 = GetPlayerBoardDataCsReq  // obf: CDHHAGAANBG
2839 = SetAssistAvatarCsReq  // obf: KPJIDIACCKN
2842 = SetSignatureScRsp  // obf: FOAAMBMEOPK
2856 = SetIsDisplayAvatarInfoScRsp  // obf: NMCCBANNPKB
2858 = SetIsDisplayAvatarInfoCsReq  // obf: ALOLLLFPILL
2860 = SetDisplayAvatarCsReq  // obf: GIIJKONEENG
2861 = SetAssistAvatarScRsp  // obf: KFMDFCHECOM
2868 = SetPersonalCardScRsp  // obf: KJANDMMOIPP
2875 = SetHeadIconScRsp  // obf: LDFOADKBPJI
2903 = SetAssistCsReq  // obf: KIKIGDGMPEN
2904 = ReportPlayerCsReq  // obf: PCPNGFOCOGA
2905 = GetPlayerDetailInfoCsReq  // obf: NHAAPILNALO
2907 = DeleteBlacklistScRsp  // obf: DAMBPIKLCBL
2908 = DeleteFriendScRsp  // obf: LBBIGDCILDJ
2910 = GetFriendAssistListCsReq  // obf: IILCDMAHMDN
2911 = GetFriendRecommendListInfoCsReq  // obf: FGNGBABEENA
2912 = SyncAddBlacklistScNotify  // obf: DKKELLBOGIO
2913 = GetFriendAssistListScRsp  // obf: MEDJBBOGLNM
2914 = GetFriendDevelopmentInfoScRsp  // obf: JJFIJODMGGB
2915 = HandleFriendCsReq  // obf: BLEJGGNFNEO
2916 = GetFriendApplyListInfoScRsp  // obf: FBFKDPMGFNL
2917 = GetFriendRecommendListInfoScRsp  // obf: AMCGEGIPAKJ
2919 = ReportPlayerScRsp  // obf: JBEBPGGIDCM
2921 = AddBlacklistScRsp  // obf: JMABIKHOJOI
2922 = GetCurAssistCsReq  // obf: HMMPDJAOMKJ
2924 = GetPlatformPlayerInfoScRsp  // obf: NOAGHDALEJE
2925 = GetFriendListInfoScRsp  // obf: JLHNEDPPFOO
2926 = SetForbidOtherApplyFriendScRsp  // obf: JJJJPBCNDCC
2929 = SetAssistScRsp  // obf: EFFMBFDAJDA
2930 = GetPlatformPlayerInfoCsReq  // obf: IFPAENCHHHE
2931 = GetFriendRecommendLineupDetailScRsp  // obf: OLLGFBLPHOH
2932 = GetAssistHistoryScRsp  // obf: BHCMCLJHEGJ
2934 = GetFriendListInfoCsReq  // obf: ADKDAKFNFMH
2936 = GetFriendRecommendLineupCsReq  // obf: NKOBPKLEDFP
2938 = SetFriendRemarkNameCsReq  // obf: HMOGLECADPG
2939 = SyncHandleFriendScNotify  // obf: OMGAOCOIILH
2940 = TakeAssistRewardCsReq  // obf: OPDCHJINMMK
2941 = CurAssistChangedNotify  // obf: KDHABGDIAPJ
2942 = HandleFriendScRsp  // obf: DOELBKLNLIM
2944 = GetFriendBattleRecordDetailScRsp  // obf: DJIFIBOJKFP
2946 = GetFriendRecommendLineupDetailCsReq  // obf: HONDEKOHJHP
2947 = GetFriendLoginInfoScRsp  // obf: NMAOECIJEBA
2949 = GetCurAssistScRsp  // obf: FBCPGPMNECG
2951 = SearchPlayerScRsp  // obf: MLBAKKMGDLG
2953 = GetFriendBattleRecordDetailCsReq  // obf: HPPJFBCNNPG
2956 = ApplyFriendScRsp  // obf: GIMLCCAKGDG
2958 = ApplyFriendCsReq  // obf: CHBNOHMCMGC
2960 = GetFriendApplyListInfoCsReq  // obf: GFCNKHPBPOC
2961 = DeleteFriendCsReq  // obf: KIKEJIAMKPH
2962 = GetFriendDevelopmentInfoCsReq  // obf: PJJAIIONOPE
2964 = AddBlacklistCsReq  // obf: ALJJJEFJLKA
2967 = SetFriendMarkScRsp  // obf: MHBMDBMICFA
2968 = SyncDeleteFriendScNotify  // obf: DMPDJIEMJJD
2970 = SetForbidOtherApplyFriendCsReq  // obf: DGEEIJCMHHO
2973 = GetAssistListScRsp  // obf: KCKOECDINAF
2975 = GetPlayerDetailInfoScRsp  // obf: KFLGFDDDOPJ
2977 = GetFriendRecommendLineupScRsp  // obf: BKALMLMEEPL
2978 = SetFriendRemarkNameScRsp  // obf: CDLCLGLKBLO
2979 = TakeAssistRewardScRsp  // obf: ENEHBCOCEGB
2980 = SetFriendMarkCsReq  // obf: IONJONGACJL
2981 = SearchPlayerCsReq  // obf: IJBGABAFCEE
2982 = GetAssistHistoryCsReq  // obf: CJMNHDLJKLE
2983 = SyncApplyFriendScNotify  // obf: MGENDBNGEEE
2984 = NewAssistHistoryNotify  // obf: OKHINFPCHAN
2985 = DeleteBlacklistCsReq  // obf: ACHFMFGCOJF
2993 = GetAssistListCsReq  // obf: IEIMIFAEADO
2996 = GetFriendLoginInfoCsReq  // obf: CNDFNIHMPKC
3016 = BuyBpLevelCsReq  // obf: CEJDHNPPCCD
3034 = BattlePassInfoNotify  // obf: LAOOKLNMLPH
3056 = TakeAllRewardCsReq  // obf: HEPHIKELLEA
3058 = BuyBpLevelScRsp  // obf: JEOKGDBPPMF
3060 = TakeBpRewardScRsp  // obf: INMLDGNNGKH
3075 = TakeBpRewardCsReq  // obf: HKIOLACNPJF
3083 = TakeAllRewardScRsp  // obf: GAMCGLNKLLG
3105 = PlayBackGroundMusicCsReq  // obf: JFFEDGDNJEA
3116 = UnlockBackGroundMusicScRsp  // obf: LMINGAKNDKP
3125 = GetJukeboxDataScRsp  // obf: KLIPBCNOPNO
3134 = GetJukeboxDataCsReq  // obf: DONHOEBBNNG
3156 = EGDFPDHNOKO
3158 = FKLMGEFILDI
3160 = UnlockBackGroundMusicCsReq  // obf: CFEBLJEFOMA
3175 = PlayBackGroundMusicScRsp  // obf: KOCPKKFLHBJ
3203 = PunkLordDataChangeNotify  // obf: NOAINAEHIJE
3204 = PunkLordBattleResultScNotify  // obf: IKCMNJJGNHK
3205 = StartPunkLordRaidCsReq  // obf: GNEBIBDMKHP
3208 = TakePunkLordPointRewardScRsp  // obf: INBDBFEEBAD
3211 = PunkLordRaidTimeOutScNotify  // obf: IDOMBJBHFEO
3216 = SharePunkLordMonsterScRsp  // obf: KKCHHOMOBDG
3219 = GetKilledPunkLordMonsterDataCsReq  // obf: CDBGGEJBNNM
3221 = GetPunkLordDataScRsp  // obf: GBDFLHHJCGM
3222 = GetPunkLordBattleRecordScRsp  // obf: MAMCOFJJOHG
3225 = GetPunkLordMonsterDataScRsp  // obf: FDJIMEBNEMD
3229 = GetPunkLordBattleRecordCsReq  // obf: BIMOGNBKODL
3234 = GetPunkLordMonsterDataCsReq  // obf: PNLGHIIDPGF
3251 = PunkLordMonsterKilledNotify  // obf: EPHPENFEPAJ
3256 = SummonPunkLordMonsterScRsp  // obf: MOLFHANBJOG
3258 = SummonPunkLordMonsterCsReq  // obf: EHJHGMHCEAL
3260 = SharePunkLordMonsterCsReq  // obf: ANJMHNEPNBP
3261 = TakePunkLordPointRewardCsReq  // obf: GHEMEECJJIB
3264 = GetPunkLordDataCsReq  // obf: PPONBPACPAE
3268 = PunkLordMonsterInfoScNotify  // obf: EBNLFLNLAFK
3273 = TakeKilledPunkLordMonsterScoreScRsp  // obf: MMIGPCKGBBO
3275 = StartPunkLordRaidScRsp  // obf: NEJJPFMAOOB
3285 = GetKilledPunkLordMonsterDataScRsp  // obf: DJALOMIEKNP
3293 = TakeKilledPunkLordMonsterScoreCsReq  // obf: OMEEPHBFPHM
3305 = GetDailyActiveInfoCsReq  // obf: GFIIJKCCICO
3316 = TakeAllApRewardCsReq  // obf: HCGENMGNLDJ
3325 = TakeApRewardScRsp  // obf: BLGFDCAPOOH
3334 = TakeApRewardCsReq  // obf: PKBMBKLIIFL
3358 = TakeAllApRewardScRsp  // obf: APEIKKFNKAJ
3360 = DailyActiveInfoNotify  // obf: LDABILELOFN
3375 = GetDailyActiveInfoScRsp  // obf: DIJHCMKKLBJ
3405 = DailyFirstMeetPamCsReq  // obf: PANIFOJDEBM
3425 = GetRndOptionScRsp  // obf: NMPAGOHFHMA
3434 = GetRndOptionCsReq  // obf: DLDOBEMCFFA
3475 = DailyFirstMeetPamScRsp  // obf: LIHMMAPDCMN
3525 = GetReplayTokenScRsp  // obf: OEIPKOKBJCH
3534 = GetReplayTokenCsReq  // obf: DHJDPHBGJPN
3605 = FightActivityDataChangeScNotify  // obf: KLABGDHBEDN
3616 = TakeFightActivityRewardCsReq  // obf: HKMMGCDNILJ
3625 = GetFightActivityDataScRsp  // obf: KDMLMIFIMHE
3634 = GetFightActivityDataCsReq  // obf: IIAOPKANEKJ
3658 = TakeFightActivityRewardScRsp  // obf: CPHCFHCEGOG
3660 = EnterFightActivityStageScRsp  // obf: LAEGLNJINGN
3675 = EnterFightActivityStageCsReq  // obf: NLLDALGJENF
3705 = NPEBOLNHFAL
3715 = TakeTrainVisitorBehaviorRewardScRsp  // obf: NEGJACBFGHB
3716 = TrainVisitorRewardSendNotify  // obf: DKMMAPLHFOA
3725 = TrainVisitorBehaviorFinishScRsp  // obf: AJGFHIIBNGP
3734 = TrainVisitorBehaviorFinishCsReq  // obf: KGONMGJNBLA
3739 = OBICGCEFCCI
3742 = NNAHGDGNOEK
3756 = GetTrainVisitorRegisterScRsp  // obf: GMBECKPIIHH
3758 = GetTrainVisitorRegisterCsReq  // obf: OGBKODNDKEN
3760 = TrainRefreshTimeNotify  // obf: JGBPIBNACKP
3775 = GetTrainVisitorBehaviorScRsp  // obf: EIDKOEHEAAA
3783 = TakeTrainVisitorBehaviorRewardCsReq  // obf: FMIGHLPJAME
3805 = TextJoinQueryCsReq  // obf: AKBOBPLCNFN
3816 = TextJoinBatchSaveScRsp  // obf: ANIFBDMGAIC
3825 = TextJoinSaveScRsp  // obf: OGFBEAPMGJM
3834 = KIJJCOBOJFM
3860 = TextJoinBatchSaveCsReq  // obf: MPDCAFLJDEB
3875 = TextJoinQueryScRsp  // obf: JIGMJHLOHKG
3905 = RevcMsgScNotify  // obf: LLCBGMJAICJ
3908 = BatchMarkChatEmojiScRsp  // obf: IECODOPOOBL
3915 = GetChatEmojiListScRsp  // obf: LOFKMJPPAKF
3916 = GetPrivateChatHistoryScRsp  // obf: JLBGMJFLJEE
3925 = SendMsgScRsp  // obf: MKFCCNOIDNB
3934 = SendMsgCsReq  // obf: PCLHDCHFKLP
3939 = MarkChatEmojiScRsp  // obf: NGGKLPDFGDC
3942 = MarkChatEmojiCsReq  // obf: FOHHCCEIICN
3956 = GetChatFriendHistoryScRsp  // obf: ENHNFNKCGJJ
3958 = GetChatFriendHistoryCsReq  // obf: OPFLGEAPHBA
3960 = GetPrivateChatHistoryCsReq  // obf: PGADBBAECPD
3961 = BatchMarkChatEmojiCsReq  // obf: FEPDPLJADHK
3964 = GetLoginChatInfoScRsp  // obf: EBOPMIBKNBE
3968 = GetLoginChatInfoCsReq  // obf: CGJKIDOBEAL
3983 = GetChatEmojiListCsReq  // obf: NGCDALNAHIG
4005 = SyncAcceptedPamMissionNotify  // obf: CLLPLCICDOB
4025 = AcceptedPamMissionExpireScRsp  // obf: PPJAKCKKPBC
4034 = AcceptedPamMissionExpireCsReq  // obf: EBFKLKGHAMJ
4103 = DifficultyAdjustmentUpdateDataCsReq  // obf: ELBOKICMECP
4104 = UpdateMovieRacingDataCsReq  // obf: IHMMNILOINC
4105 = GetShareDataCsReq  // obf: INAFIPCFLGB
4107 = GetGunPlayDataScRsp  // obf: AHDEDBMNMCP
4108 = TriggerVoiceScRsp  // obf: BMFLFFJIEFC
4110 = CycleScoreRewardUpdateInfoScNotify  // obf: EABIMAPLLLL
4112 = GetOrigamiPropInfoScRsp  // obf: MGFAALHCHEF
4113 = GetPlayerForbidCsReq  // obf: PNGHOJJHKFN
4115 = CancelAutoConversionCacheScRsp  // obf: INKEEEKKNKF
4116 = TakePictureScRsp  // obf: EHNLGMEGIJP
4119 = UpdateMovieRacingDataScRsp  // obf: NCFCNNFIBLJ
4121 = GetOrigamiPropInfoCsReq  // obf: GFGEMCJLGPP
4122 = MazeKillDirectCsReq  // obf: FPMCECGEIJD
4123 = GetPlayerForbidScRsp  // obf: KPCBPICOADJ
4124 = GetUnreleasedBlockInfoScRsp  // obf: NOMPAIPDNKC
4125 = ShareScRsp  // obf: NJBNEBEFNEC
4126 = CycleScoreRewardTakeRewardScRsp  // obf: FECGDOJFDIM
4129 = DifficultyAdjustmentUpdateDataScRsp  // obf: FCGMKPGGCAC
4130 = GetUnreleasedBlockInfoCsReq  // obf: FPBDJBIFJHA
4132 = CancelDirectDeliveryNoticeCsReq  // obf: JFFANDLFOGP
4134 = ShareCsReq  // obf: PMDGOKCLELJ
4138 = GetMovieRacingDataCsReq  // obf: IMEFDMEGEON
4139 = SecurityReportScRsp  // obf: IDENFKIJICM
4140 = GetSwitchMascotDataCsReq  // obf: BGGJMEAOBFG
4141 = SwitchMascotUpdateScNotify  // obf: OFAPJBDCIAE
4142 = IGBJDKIEDJL
4147 = CycleScoreRewardGetDataScRsp  // obf: ALCDAEIDEAM
4149 = MazeKillDirectScRsp  // obf: LBEBKNGBBCO
4151 = UpdateGunPlayDataScRsp  // obf: EKOPMNIGCPH
4160 = TakePictureCsReq  // obf: LIOGDHEFOGD
4161 = TriggerVoiceCsReq  // obf: MNCFPNFGAOH
4164 = SubmitOrigamiItemScRsp  // obf: NIALCDGNNLC
4167 = CycleScoreRewardDestroyExceedRewardScRsp  // obf: DDOOEDOKEPF
4168 = SubmitOrigamiItemCsReq  // obf: JDAALEACPKL
4170 = CycleScoreRewardTakeRewardCsReq  // obf: PICONFLHMCD
4173 = DifficultyAdjustmentGetDataScRsp  // obf: BPFGOALJLPP
4175 = GetShareDataScRsp  // obf: DLCCOHOEFCA
4176 = PlayerForbidScNotify  // obf: OCGIIEDCHMG
4178 = GetMovieRacingDataScRsp  // obf: HIADAFCBLKH
4179 = GetSwitchMascotDataScRsp  // obf: DPODMNMGDLK
4180 = CycleScoreRewardDestroyExceedRewardCsReq  // obf: LCBIEJNJDIF
4181 = UpdateGunPlayDataCsReq  // obf: GACMFAOEKMP
4182 = DirectDeliveryScNotify  // obf: CLIOFILACMC
4183 = CancelAutoConversionCacheCsReq  // obf: PIMFFPGEPIO
4184 = CancelDirectDeliveryNoticeScRsp  // obf: EJBPJPEDLJL
4185 = GetGunPlayDataCsReq  // obf: LOIAGBJKMEB
4193 = DifficultyAdjustmentGetDataCsReq  // obf: MJHIOCKGPMN
4196 = CycleScoreRewardGetDataCsReq  // obf: JOIGBKBEGOB
4205 = MatchBoxingClubOpponentCsReq  // obf: PKPFDGEKLOO
4208 = SetBoxingClubResonanceScRsp  // obf: KADHOJHKFED
4215 = BoxingClubChallengeUpdateScNotify  // obf: OFHGANNPNIH
4216 = StartBoxingClubBattleScRsp  // obf: EBPOGEBENBH
4225 = GetBoxingClubInfoScRsp  // obf: NIKKFEINEFD
4234 = GetBoxingClubInfoCsReq  // obf: DPKAAFLBPAP
4239 = ChooseBoxingClubResonanceScRsp  // obf: KEKEOMIMNFI
4242 = ChooseBoxingClubResonanceCsReq  // obf: KHNHMAGJNFN
4256 = GiveUpBoxingClubChallengeScRsp  // obf: HKNFAFFEHDL
4258 = GiveUpBoxingClubChallengeCsReq  // obf: PMIFOPAPNNI
4260 = StartBoxingClubBattleCsReq  // obf: OLLAEFNBCIM
4261 = SetBoxingClubResonanceCsReq  // obf: HKFJNFGBGPL
